group,skill,assignment_number,participant_id_1,participant_id_2,feedback_1,feedback_2,sim
1-4,Readability,302.0,1,2,Good code readability.,No comment supplied,0.1475195
1-4,Readability,302.0,1,3,Good code readability.,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.50765944
1-4,Readability,302.0,1,4,Good code readability.,"Code not very easy to read, names of variables not explicit. ",0.5067938
1-4,Readability,302.0,2,3,No comment supplied,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.065516576
1-4,Readability,302.0,2,4,No comment supplied,"Code not very easy to read, names of variables not explicit. ",0.12390957
1-4,Readability,302.0,3,4,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.","Code not very easy to read, names of variables not explicit. ",0.43688345
1-4,Readability,188.0,1,2,Code generally reads well. Some inconsistencies in documentation styling.,Some method names are misleading,0.2679251
1-4,Readability,188.0,1,3,Code generally reads well. Some inconsistencies in documentation styling.,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.45448864
1-4,Readability,188.0,1,4,Code generally reads well. Some inconsistencies in documentation styling.,"Easy to read, good choise of variable names",0.23072769
1-4,Readability,188.0,2,3,Some method names are misleading,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.32479
1-4,Readability,188.0,2,4,Some method names are misleading,"Easy to read, good choise of variable names",0.38567725
1-4,Readability,188.0,3,4,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.","Easy to read, good choise of variable names",0.43668777
1-4,Readability,303.0,1,2,"Styling is consistent, some commented out code",No comment supplied,0.23592669
1-4,Readability,303.0,1,3,"Styling is consistent, some commented out code","The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.33170745
1-4,Readability,303.0,1,4,"Styling is consistent, some commented out code","Easy to follow, good choice of names for the variables",0.080332056
1-4,Readability,303.0,2,3,No comment supplied,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.065516576
1-4,Readability,303.0,2,4,No comment supplied,"Easy to follow, good choice of names for the variables",0.070835516
1-4,Readability,303.0,3,4,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.","Easy to follow, good choice of names for the variables",0.39980528
1-4,Readability,277.0,1,2,Code reads well.,No comment supplied,0.13067992
1-4,Readability,277.0,1,3,Code reads well.,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.43921584
1-4,Readability,277.0,1,4,Code reads well.,"Very easy to read, clear and concise code",0.6531395
1-4,Readability,277.0,2,3,No comment supplied,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.065516576
1-4,Readability,277.0,2,4,No comment supplied,"Very easy to read, clear and concise code",0.09397471
1-4,Readability,277.0,3,4,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.","Very easy to read, clear and concise code",0.5628868
1-4,Readability,261.0,1,2,Inconsistent bracing style and tabs.,code is understandable and organised,0.189471
1-4,Readability,261.0,1,3,Inconsistent bracing style and tabs.,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.2478967
1-4,Readability,261.0,1,4,Inconsistent bracing style and tabs.,Very easy and compact code,0.08226991
1-4,Readability,261.0,2,3,code is understandable and organised,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.602916
1-4,Readability,261.0,2,4,code is understandable and organised,Very easy and compact code,0.61490214
1-4,Readability,261.0,3,4,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",Very easy and compact code,0.53426015
1-4,Readability,542.0,1,2,Code is clean and generally readable.,No comment supplied,0.075258926
1-4,Readability,542.0,1,3,Code is clean and generally readable.,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.50714624
1-4,Readability,542.0,1,4,Code is clean and generally readable.,"Easy to read, good job",0.30448368
1-4,Readability,542.0,2,3,No comment supplied,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.065516576
1-4,Readability,542.0,2,4,No comment supplied,"Easy to read, good job",0.11009067
1-4,Readability,542.0,3,4,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.","Easy to read, good job",0.21739338
1-4,Readability,391.0,1,2,Readability is generally good.,The code is somewhat challenging to read.,0.45880908
1-4,Readability,391.0,1,3,Readability is generally good.,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.28135234
1-4,Readability,391.0,1,4,Readability is generally good.,Code very easy to read,0.4425466
1-4,Readability,391.0,2,3,The code is somewhat challenging to read.,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",0.40321246
1-4,Readability,391.0,2,4,The code is somewhat challenging to read.,Code very easy to read,0.7991115
1-4,Readability,391.0,3,4,"The code demonstrates a high level of organisation, consistent indentation, and meaningful identifier names.",Code very easy to read,0.4635302
1-4,Readability,680.0,1,2,Code styling is consistent.,code is understandable and organised,0.4527225
